<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.08.29	04:00:00	1539.78	1543.94	1537.90	1542.82	6839	0	23
2019.08.29	08:00:00	1542.82	1550.25	1538.49	1539.67	14106	0	23
2019.08.29	12:00:00	1539.67	1544.29	1533.56	1542.66	11943	0	24
2019.08.29	16:00:00	1542.66	1545.13	1525.01	1528.41	20420	0	24
2019.08.29	20:00:00	1528.42	1529.62	1519.47	1527.30	11323	0	23
2019.08.30	00:00:00	1527.19	1528.70	1522.47	1524.61	4022	0	23
2019.08.30	04:00:00	1524.60	1527.19	1522.02	1525.96	7402	0	23
2019.08.30	08:00:00	1525.96	1533.01	1521.84	1525.41	12587	0	24
2019.08.30	12:00:00	1525.51	1530.62	1523.86	1528.13	8653	0	24
2019.08.30	16:00:00	1528.14	1532.63	1522.36	1522.92	16948	0	23
2019.08.30	20:00:00	1522.97	1525.68	1516.97	1519.94	10708	0	23
2019.09.02	00:00:00	1526.23	1533.72	1526.23	1528.94	4797	0	23
2019.09.02	04:00:00	1529.01	1529.24	1522.64	1525.43	7191	0	24
2019.09.02	08:00:00	1525.43	1525.82	1519.26	1521.20	7380	0	24
2019.09.02	12:00:00	1521.13	1526.24	1520.68	1523.72	5797	0	24
2019.09.02	16:00:00	1523.72	1531.10	1523.22	1529.44	10435	0	24
2019.09.03	00:00:00	1528.78	1529.59	1524.17	1525.09	3193	0	24
2019.09.03	04:00:00	1525.09	1525.87	1521.56	1524.29	6815	0	27
2019.09.03	08:00:00	1524.29	1533.01	1523.94	1532.20	12543	0	24
2019.09.03	12:00:00	1532.18	1534.81	1528.95	1532.30	10728	0	23
2019.09.03	16:00:00	1532.46	1549.61	1531.39	1545.82	22578	0	23
2019.09.03	20:00:00	1545.89	1549.38	1542.04	1547.45	8045	0	24
2019.09.04	00:00:00	1546.47	1550.01	1544.24	1544.84	4892	0	27
2019.09.04	04:00:00	1544.82	1548.67	1540.08	1542.36	10000	0	24
2019.09.04	08:00:00	1542.31	1544.08	1535.18	1538.66	11445	0	24
2019.09.04	12:00:00	1538.66	1541.66	1533.73	1541.43	9886	0	23
2019.09.04	16:00:00	1541.53	1549.02	1541.24	1547.44	16788	0	24
2019.09.04	20:00:00	1547.44	1556.92	1546.98	1552.37	9823	0	24
2019.09.05	00:00:00	1551.81	1552.90	1547.30	1548.56	4233	0	24
2019.09.05	04:00:00	1548.56	1549.76	1541.72	1544.42	11198	0	23
2019.09.05	08:00:00	1544.42	1549.99	1540.54	1542.63	12040	0	23
2019.09.05	12:00:00	1542.63	1544.57	1534.72	1536.75	11989	0	23
2019.09.05	16:00:00	1536.78	1538.35	1506.18	1515.34	23564	0	23
2019.09.05	20:00:00	1515.35	1520.94	1515.35	1518.87	8448	0	24
2019.09.06	00:00:00	1517.15	1520.15	1515.78	1517.37	3940	0	25
2019.09.06	04:00:00	1517.36	1519.65	1512.60	1518.24	11152	0	25
2019.09.06	08:00:00	1518.24	1519.26	1505.20	1508.13	14269	0	25
2019.09.06	12:00:00	1507.93	1518.27	1502.45	1515.92	15149	0	23
2019.09.06	16:00:00	1515.91	1527.78	1510.85	1517.64	20595	0	23
2019.09.06	20:00:00	1517.44	1518.66	1504.37	1506.00	13980	0	23
2019.09.09	00:00:00	1507.80	1508.22	1503.18	1507.29	5926	0	23
2019.09.09	04:00:00	1507.28	1512.40	1506.72	1509.44	10296	0	23
2019.09.09	08:00:00	1509.44	1511.40	1504.35	1508.10	9776	0	24
2019.09.09	12:00:00	1508.01	1514.78	1507.83	1513.91	9073	0	23
2019.09.09	16:00:00	1514.01	1515.38	1497.52	1503.20	19214	0	25
2019.09.09	20:00:00	1503.24	1504.42	1498.14	1498.79	8570	0	25
2019.09.10	00:00:00	1498.62	1499.82	1492.94	1493.09	4949	0	27
2019.09.10	04:00:00	1493.07	1493.68	1486.33	1489.79	10066	0	25
2019.09.10	08:00:00	1489.74	1496.69	1487.66	1493.91	10302	0	24
2019.09.10	12:00:00	1493.91	1496.80	1488.62	1495.48	10800	0	23
2019.09.10	16:00:00	1495.48	1500.86	1489.68	1491.09	20633	0	23
2019.09.10	20:00:00	1491.11	1493.64	1484.40	1485.14	9489	0	23
2019.09.11	00:00:00	1485.55	1489.04	1484.91	1488.70	3581	0	25
2019.09.11	04:00:00	1488.70	1492.86	1488.40	1490.83	7473	0	27
2019.09.11	08:00:00	1490.85	1494.88	1488.79	1493.69	10676	0	23
2019.09.11	12:00:00	1493.70	1494.61	1489.79	1491.39	8429	0	23
2019.09.11	16:00:00	1491.42	1497.52	1486.71	1493.58	15993	0	23
2019.09.11	20:00:00	1493.59	1498.16	1491.55	1496.63	5618	0	23
2019.09.12	00:00:00	1497.22	1498.34	1489.11	1490.12	5848	0	24
2019.09.12	04:00:00	1490.12	1496.02	1490.12	1495.87	6905	0	29
2019.09.12	08:00:00	1495.90	1505.78	1494.97	1504.31	10471	0	23
2019.09.12	12:00:00	1504.33	1524.09	1501.55	1516.03	13228	0	23
2019.09.12	16:00:00	1515.82	1520.32	1496.85	1498.44	23451	0	23
