<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.03.10	08:00:00	47641.25	47947.25	47617.75	47892.25	27891	0	500
2026.03.10	12:00:00	47892.80	47923.25	47451.25	47483.80	38270	0	500
2026.03.10	16:00:00	47482.35	48219.00	47431.75	48114.59	53143	0	500
2026.03.10	20:00:00	48116.08	48127.77	47654.16	47719.35	34270	0	500
2026.03.11	00:00:00	47724.20	47907.20	47652.25	47884.70	13066	0	500
2026.03.11	04:00:00	47883.70	47931.70	47809.70	47814.70	9495	0	500
2026.03.11	08:00:00	47814.20	47848.70	47515.20	47529.70	23224	0	500
2026.03.11	12:00:00	47529.20	47843.70	47367.70	47495.20	35678	0	500
2026.03.11	16:00:00	47494.70	47679.70	47180.28	47330.56	56420	0	500
2026.03.11	20:00:00	47331.06	47441.71	47253.34	47342.64	24479	0	500
2026.03.12	00:00:00	47299.00	47339.55	46901.00	46955.50	19650	0	500
2026.03.12	04:00:00	46956.00	46980.50	46801.50	46918.00	15008	0	500
2026.03.12	08:00:00	46917.50	47211.50	46884.00	47195.50	19639	0	500
2026.03.12	12:00:00	47195.00	47214.50	46782.50	46807.00	31447	0	500
2026.03.12	16:00:00	46808.50	47061.30	46674.25	46808.11	58809	0	500
2026.03.12	20:00:00	46806.62	46886.23	46655.21	46722.32	25398	0	500
2026.03.13	00:00:00	46735.10	46962.50	46680.50	46886.50	17625	0	500
2026.03.13	04:00:00	46886.00	46914.00	46806.50	46847.00	14364	0	500
2026.03.13	08:00:00	46846.50	46854.50	46426.00	46686.00	28439	0	500
2026.03.13	12:00:00	46687.50	47127.50	46680.50	46945.10	34901	0	500
2026.03.13	16:00:00	46946.10	47011.00	46556.25	46603.81	59174	0	500
2026.03.13	20:00:00	46607.81	46726.44	46473.61	46476.11	25081	0	500
2026.03.16	00:00:00	46344.50	46780.05	46344.50	46767.55	21631	0	500
2026.03.16	04:00:00	46768.05	46799.55	46689.00	46791.05	12965	0	500
2026.03.16	08:00:00	46790.55	46811.05	46572.50	46591.05	22791	0	500
2026.03.16	12:00:00	46590.50	47144.00	46581.05	47140.00	32308	0	500
2026.03.16	16:00:00	47140.50	47181.00	46811.17	46892.97	37952	0	500
2026.03.16	20:00:00	46891.97	47090.52	46887.59	46915.70	15816	0	500
2026.03.17	00:00:00	46914.50	46949.00	46822.55	46873.55	14060	0	500
2026.03.17	04:00:00	46874.00	46885.00	46742.05	46745.00	12967	0	500
2026.03.17	08:00:00	46743.05	46952.55	46681.50	46936.05	24400	0	500
2026.03.17	12:00:00	46935.55	47431.00	46843.55	47333.85	28984	0	500
2026.03.17	16:00:00	47328.90	47329.85	46987.53	47074.47	48900	0	500
2026.03.17	20:00:00	47075.46	47119.06	46973.33	47001.18	17000	0	500
2026.03.18	00:00:00	47002.60	47088.00	46939.00	47082.00	7365	0	500
2026.03.18	04:00:00	47082.50	47247.50	47082.00	47237.50	5816	0	500
2026.03.18	08:00:00	47236.50	47304.00	47229.00	47250.00	11878	0	500
2026.03.18	12:00:00	47249.50	47269.50	46704.50	46812.60	32369	0	500
2026.03.18	16:00:00	46815.60	46832.55	46475.50	46570.55	46512	0	500
2026.03.18	20:00:00	46571.05	46614.50	46044.50	46074.50	29783	0	500
2026.03.19	00:00:00	46148.10	46209.00	46082.00	46166.50	12832	0	500
2026.03.19	04:00:00	46167.00	46305.00	46132.50	46170.00	13119	0	500
2026.03.19	08:00:00	46170.50	46270.00	46010.55	46240.00	29171	0	500
2026.03.19	12:00:00	46239.50	46240.00	45785.00	46020.55	36161	0	500
2026.03.19	16:00:00	46014.10	46064.00	45723.00	45838.50	55873	0	500
2026.03.19	20:00:00	45837.50	46248.50	45764.50	46086.05	29619	0	500
